astro_public_path,astro_file_path,filename,mapping_status,wordpress_upload_path,wordpress_public_url,wordpress_attachment_id,legacy_alt
/images/components/lumina-slate/active-solar-tile.webp,public/images/components/lumina-slate/active-solar-tile.webp,active-solar-tile.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/aluminum-valley-flashing.webp,public/images/components/lumina-slate/aluminum-valley-flashing.webp,aluminum-valley-flashing.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/eaves-starter-drip-edge.webp,public/images/components/lumina-slate/eaves-starter-drip-edge.webp,eaves-starter-drip-edge.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/flexible-flashing-roll.webp,public/images/components/lumina-slate/flexible-flashing-roll.webp,flexible-flashing-roll.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/inactive-half-tile-cuttable.webp,public/images/components/lumina-slate/inactive-half-tile-cuttable.webp,inactive-half-tile-cuttable.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/inactive-half-tile-uncuttable.webp,public/images/components/lumina-slate/inactive-half-tile-uncuttable.webp,inactive-half-tile-uncuttable.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/inactive-quarter-tile.webp,public/images/components/lumina-slate/inactive-quarter-tile.webp,inactive-quarter-tile.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/rake-tile.webp,public/images/components/lumina-slate/rake-tile.webp,rake-tile.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/ridge-support-bracket.webp,public/images/components/lumina-slate/ridge-support-bracket.webp,ridge-support-bracket.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/ridge-tile.webp,public/images/components/lumina-slate/ridge-tile.webp,ridge-tile.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/ventilated-ridge-roll.webp,public/images/components/lumina-slate/ventilated-ridge-roll.webp,ventilated-ridge-roll.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/vertical-flashing-strip.webp,public/images/components/lumina-slate/vertical-flashing-strip.webp,vertical-flashing-strip.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/lumina-slate/wind-uplift-clip.webp,public/images/components/lumina-slate/wind-uplift-clip.webp,wind-uplift-clip.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/shared/butyl-sealant-tape.webp,public/images/components/shared/butyl-sealant-tape.webp,butyl-sealant-tape.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/shared/foil-radiant-barrier.webp,public/images/components/shared/foil-radiant-barrier.webp,foil-radiant-barrier.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/shared/mc4-connector.webp,public/images/components/shared/mc4-connector.webp,mc4-connector.webp,astro_asset_without_exact_wordpress_filename_match,,,,
/images/components/shared/roof-batten.webp,public/images/components/shared/roof-batten.webp,roof-batten.webp,astro_asset_without_exact_wordpress_filename_match,,,,
